상호,주소,1등_배출횟수,구글맵링크
갈렙분식한식,서울 중랑구 용마산로115길 92,10,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A4%91%EB%9E%91%EA%B5%AC%20%EC%9A%A9%EB%A7%88%EC%82%B0%EB%A1%9C115%EA%B8%B8%2092
행복한사람들 (흥부네),경기 광주시 경충대로 1014,10,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B4%91%EC%A3%BC%EC%8B%9C%20%EA%B2%BD%EC%B6%A9%EB%8C%80%EB%A1%9C%201014
노다지복권방,인천 미추홀구 한나루로 400 외7필지125호,10,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%AF%B8%EC%B6%94%ED%99%80%EA%B5%AC%20%ED%95%9C%EB%82%98%EB%A3%A8%EB%A1%9C%20400%20%EC%99%B87%ED%95%84%EC%A7%80125%ED%98%B8
미나식품(로또판매점),서울 강서구 금낭화로 91-12,10,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EA%B8%88%EB%82%AD%ED%99%94%EB%A1%9C%2091-12
현대장미슈퍼,전북 익산시 동서로61길 41 어양동 현대A 상가동 108호,10,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%9D%B5%EC%82%B0%EC%8B%9C%20%EB%8F%99%EC%84%9C%EB%A1%9C61%EA%B8%B8%2041%20%EC%96%B4%EC%96%91%EB%8F%99%20%ED%98%84%EB%8C%80A%20%EC%83%81%EA%B0%80%EB%8F%99%20108%ED%98%B8
영광정보통신,서울 성북구 화랑로 92 1층 우측1호,9,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%ED%99%94%EB%9E%91%EB%A1%9C%2092%201%EC%B8%B5%20%EC%9A%B0%EC%B8%A11%ED%98%B8
팡팡복권마트.잡화슈퍼,전북 전주시 덕진구 가리내로 26,9,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%A0%84%EC%A3%BC%EC%8B%9C%20%EB%8D%95%EC%A7%84%EA%B5%AC%20%EA%B0%80%EB%A6%AC%EB%82%B4%EB%A1%9C%2026
월드24시,서울 은평구 통일로 855-15,9,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%ED%86%B5%EC%9D%BC%EB%A1%9C%20855-15
흥건슈퍼,전북 전주시 완산구 거마평로 25 흥건슈퍼,9,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%A0%84%EC%A3%BC%EC%8B%9C%20%EC%99%84%EC%82%B0%EA%B5%AC%20%EA%B1%B0%EB%A7%88%ED%8F%89%EB%A1%9C%2025%20%ED%9D%A5%EA%B1%B4%EC%8A%88%ED%8D%BC
천하명당복권,대구 북구 칠곡중앙대로 545,9,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%B6%81%EA%B5%AC%20%EC%B9%A0%EA%B3%A1%EC%A4%91%EC%95%99%EB%8C%80%EB%A1%9C%20545
복권전문점,인천 부평구 원적로 437,9,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%B6%80%ED%8F%89%EA%B5%AC%20%EC%9B%90%EC%A0%81%EB%A1%9C%20437
김포로또,경기 김포시 돌문로 48 한솔프라자101,9,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B9%80%ED%8F%AC%EC%8B%9C%20%EB%8F%8C%EB%AC%B8%EB%A1%9C%2048%20%ED%95%9C%EC%86%94%ED%94%84%EB%9D%BC%EC%9E%90101
로또복권두정점,충남 천안시 서북구 두정로 251 대원빌딩104호,9,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EC%B2%9C%EC%95%88%EC%8B%9C%20%EC%84%9C%EB%B6%81%EA%B5%AC%20%EB%91%90%EC%A0%95%EB%A1%9C%20251%20%EB%8C%80%EC%9B%90%EB%B9%8C%EB%94%A9104%ED%98%B8
행복충전소,경기 평택시 탄현로 332-2,9,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%8F%89%ED%83%9D%EC%8B%9C%20%ED%83%84%ED%98%84%EB%A1%9C%20332-2
메트로센터점,대구 중구 달구벌대로 지하 2100 메트로센터C412호,9,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EC%A4%91%EA%B5%AC%20%EB%8B%AC%EA%B5%AC%EB%B2%8C%EB%8C%80%EB%A1%9C%20%EC%A7%80%ED%95%98%202100%20%EB%A9%94%ED%8A%B8%EB%A1%9C%EC%84%BC%ED%84%B0C412%ED%98%B8
주택복권방,경기 용인시 수지구 풍덕천로 144-1 103호,9,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EC%88%98%EC%A7%80%EA%B5%AC%20%ED%92%8D%EB%8D%95%EC%B2%9C%EB%A1%9C%20144-1%20103%ED%98%B8
대광복권방,전남 화순군 칠충로 55 대광그린상가동 1층109호,9,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%82%A8%20%ED%99%94%EC%88%9C%EA%B5%B0%20%EC%B9%A0%EC%B6%A9%EB%A1%9C%2055%20%EB%8C%80%EA%B4%91%EA%B7%B8%EB%A6%B0%EC%83%81%EA%B0%80%EB%8F%99%201%EC%B8%B5109%ED%98%B8
천하명당복권방,경남 거제시 옥포성안로 60,9,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EA%B1%B0%EC%A0%9C%EC%8B%9C%20%EC%98%A5%ED%8F%AC%EC%84%B1%EC%95%88%EB%A1%9C%2060
오케이상사,서울 서초구 신반포로 176 센트럴시티내100호매점,9,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%8B%A0%EB%B0%98%ED%8F%AC%EB%A1%9C%20176%20%EC%84%BC%ED%8A%B8%EB%9F%B4%EC%8B%9C%ED%8B%B0%EB%82%B4100%ED%98%B8%EB%A7%A4%EC%A0%90
로터리편의마트,경북 포항시 북구 서동로 85 육거리,8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%ED%8F%AC%ED%95%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%EC%84%9C%EB%8F%99%EB%A1%9C%2085%20%EC%9C%A1%EA%B1%B0%EB%A6%AC
서재강변로또,대구 달성군 서재로 172,8,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%8B%AC%EC%84%B1%EA%B5%B0%20%EC%84%9C%EC%9E%AC%EB%A1%9C%20172
보람복권방,울산 남구 화합로194번길 18-1 1층,8,https://www.google.com/maps/search/?api=1&query=%EC%9A%B8%EC%82%B0%20%EB%82%A8%EA%B5%AC%20%ED%99%94%ED%95%A9%EB%A1%9C194%EB%B2%88%EA%B8%B8%2018-1%201%EC%B8%B5
대성기획,경기 용인시 기흥구 구성로 75-1,8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EA%B8%B0%ED%9D%A5%EA%B5%AC%20%EA%B5%AC%EC%84%B1%EB%A1%9C%2075-1
노다지복권방,경기 시흥시 복지로 103-1 1층상가,8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%8B%9C%ED%9D%A5%EC%8B%9C%20%EB%B3%B5%EC%A7%80%EB%A1%9C%20103-1%201%EC%B8%B5%EC%83%81%EA%B0%80
25시슈퍼,경기 시흥시 함송로14번길 13-17 홍익프라자1층107호,8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%8B%9C%ED%9D%A5%EC%8B%9C%20%ED%95%A8%EC%86%A1%EB%A1%9C14%EB%B2%88%EA%B8%B8%2013-17%20%ED%99%8D%EC%9D%B5%ED%94%84%EB%9D%BC%EC%9E%901%EC%B8%B5107%ED%98%B8
공원슈퍼,경기 수원시 장안구 팔달로 255 1층(영화동),8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%ED%8C%94%EB%8B%AC%EB%A1%9C%20255%201%EC%B8%B5%28%EC%98%81%ED%99%94%EB%8F%99%29
평안당,서울 종로구 종로 219,8,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%A2%85%EB%A1%9C%20219
가판점(신문),서울 영등포구 양평로 50-2,8,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EC%96%91%ED%8F%89%EB%A1%9C%2050-2
왕대박복권방,경북 문경시 중앙로 15,8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EB%AC%B8%EA%B2%BD%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%2015
서울로또방,충북 옥천군 삼금로 8,8,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%B6%81%20%EC%98%A5%EC%B2%9C%EA%B5%B0%20%EC%82%BC%EA%B8%88%EB%A1%9C%208
성심상회,경북 포항시 북구 불종로 78,8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%ED%8F%AC%ED%95%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%EB%B6%88%EC%A2%85%EB%A1%9C%2078
프로토베팅샵,부산 중구 국제시장2길 5 4호,8,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%A4%91%EA%B5%AC%20%EA%B5%AD%EC%A0%9C%EC%8B%9C%EC%9E%A52%EA%B8%B8%205%204%ED%98%B8
데이앤나잇,서울 성북구 종암로 132 종암우림카이저팰리스 1층 101호,8,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%EC%A2%85%EC%95%94%EB%A1%9C%20132%20%EC%A2%85%EC%95%94%EC%9A%B0%EB%A6%BC%EC%B9%B4%EC%9D%B4%EC%A0%80%ED%8C%B0%EB%A6%AC%EC%8A%A4%201%EC%B8%B5%20101%ED%98%B8
북문복권방,경기 수원시 장안구 정조로 927-1,8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EC%9E%A5%EC%95%88%EA%B5%AC%20%EC%A0%95%EC%A1%B0%EB%A1%9C%20927-1
빅세일복권방,부산 부산진구 서면문화로 6,8,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%B6%80%EC%82%B0%EC%A7%84%EA%B5%AC%20%EC%84%9C%EB%A9%B4%EB%AC%B8%ED%99%94%EB%A1%9C%206
황실복권방,충남 천안시 동남구 충절로 799,8,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EC%B2%9C%EC%95%88%EC%8B%9C%20%EB%8F%99%EB%82%A8%EA%B5%AC%20%EC%B6%A9%EC%A0%88%EB%A1%9C%20799
이마트24 순천산단점,전남 순천시 산단1길 6,8,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%82%A8%20%EC%88%9C%EC%B2%9C%EC%8B%9C%20%EC%82%B0%EB%8B%A81%EA%B8%B8%206
중앙로또,경북 칠곡군 북삼로 41 복권판매점,8,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EB%B6%81%EC%82%BC%EB%A1%9C%2041%20%EB%B3%B5%EA%B6%8C%ED%8C%90%EB%A7%A4%EC%A0%90
복권명당,충남 공주시 번영1로 41,7,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EA%B3%B5%EC%A3%BC%EC%8B%9C%20%EB%B2%88%EC%98%811%EB%A1%9C%2041
지원물산,서울 노원구 공릉로 108,7,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EA%B3%B5%EB%A6%89%EB%A1%9C%20108
원스탑,서울 송파구 백제고분로7길 39,7,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EB%B0%B1%EC%A0%9C%EA%B3%A0%EB%B6%84%EB%A1%9C7%EA%B8%B8%2039
대박복권방,경기 연천군 온골로 57-1,7,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%97%B0%EC%B2%9C%EA%B5%B0%20%EC%98%A8%EA%B3%A8%EB%A1%9C%2057-1
